Prox,Proy,Pany,Excay,Bispy,Tripy,Paly
503.5539009,5553.399414,4110,4376.400391,2865.201172,6850.400391,7326.100098
504.3007009,5553.798828,4177.099609,4310.600586,2744.300781,6854.700195,7336.200195
505.0473956,5593.399414,4252,4437.800781,2836.402344,6766.200195,7357.700195
505.7939852,5611.999023,4168.899414,4394.100586,2798.501953,6836.800293,7333.300049
506.5404696,5544.699219,4141.899414,4395.200195,2740.601563,6801.500488,7330
507.286849,5579.699219,4122.5,4327.200195,2738.201172,6783.700195,7330.100098
508.0331232,5488.298828,4048.899414,4343.100586,2697.201172,6760.600586,7338.900146
508.7792924,5547.999023,4167.199219,4371.700195,2747.800781,6797.600586,7362.900146
509.5253566,5467.199219,4143.199219,4366.100586,2850.800781,6756.200195,7340.700195
510.2713158,5564.099609,4154.299805,4341.100586,2901.300781,6795.600586,7327.800049
511.01717,5623.899414,4134.299805,4386.300781,2844.201172,6819.500488,7323.600098
511.7629193,5588.298828,4138.199219,4423.100586,2864.902344,6769.200195,7337
512.5085636,5585.798828,4178.299805,4384.900391,2852.101563,6775.000488,7331.400146
513.2541031,5639.599609,4233.5,4418.300781,2865.001953,6779.700195,7334.900146
513.9995377,5610.298828,4303,4364.900391,2853.800781,6834.700195,7330.100098
514.7448675,5666.399414,4219.299805,4399.700195,2990.601563,6814.500488,7332.100098
515.4900924,5612.599609,4241.599609,4419.400391,2948.902344,6827.900391,7338.600098
516.2352126,5624.199219,4154.399414,4417.200195,2935.201172,6816.800293,7323.400146
516.980228,5619.999023,4230.5,4403,2901.201172,6835.000488,7324.600098
517.7251387,5623.399414,4184.899414,4477.700195,2920.402344,6864.600586,7309.400146
518.4699448,5603.298828,4278.299805,4468.400391,2978.001953,6809.800293,7369.900146
519.2146461,5740.798828,4304.699219,4450.700195,3024.001953,6853.300293,7346.5
519.9592428,5661.699219,4232.099609,4470.400391,3043.201172,6879.000488,7317
520.7037349,5581.499023,4251.599609,4465.600586,2966.902344,6823.000488,7321.700195
521.4481224,5611.999023,4270.299805,4464.200195,2925.402344,6866.600586,7341.900146
522.1924053,5669.999023,4246.099609,4502,2976.001953,6867.900391,7329.5
522.9365837,5727.499023,4245.899414,4457,3069.001953,6840.200195,7342.600098
523.6806576,5731.899414,4304.599609,4505.900391,3110.101563,6876.200195,7326
524.424627,5706.499023,4298,4454.900391,3124.601563,6836.100586,7344.200195
525.1684919,5731.399414,4357.699219,4513.5,3050.300781,6852.900391,7335.900146
525.9122524,5746.798828,4337.899414,4543,3079.101563,6909.000488,7322
526.6559086,5719.099609,4394.699219,4491.900391,3118.701172,6825.000488,7317.200195
527.3994603,5764.699219,4340.5,4549.600586,3089.001953,6844.400391,7333.200195
528.1429077,5718.699219,4378.399414,4503.5,3157.300781,6861.800293,7345.400146
528.8862508,5760.999023,4325.899414,4531.300781,3057.101563,6858.000488,7324.800049
529.6294896,5734.798828,4293.399414,4563.700195,3176.701172,6828.700195,7329.900146
530.3726242,5731.999023,4401.199219,4519.5,3147.101563,6885.600586,7326.5
531.1156545,5798.599609,4399.799805,4553.300781,3243.902344,6890.100586,7336.900146
531.8585805,5782.899414,4421.099609,4571.400391,3294.300781,6900.700195,7346
532.6014025,5814.699219,4448,4619.200195,3174.501953,6873.800293,7340.200195
533.3441202,5820.999023,4421.099609,4642,3245.101563,6929.900391,7338.400146
534.0867338,5769.499023,4497,4664.100586,3238.701172,6907.000488,7337.5
534.8292434,5819.298828,4461,4633,3332.101563,6912.200195,7332.800049
535.5716488,5833.499023,4462,4624.900391,3236.601563,6892.900391,7334.700195
536.3139502,5838.798828,4589.899414,4648.700195,3264.701172,6930.200195,7356.300049
537.0561476,5910.099609,4617.799805,4683.100586,3462.800781,6936.200195,7343.200195
537.798241,5937.099609,4524.299805,4636.600586,3477.201172,6950.200195,7354.600098
538.5402304,5926.798828,4600.699219,4713.300781,3537.001953,6935.000488,7339.5
539.2821159,5980.199219,4603.199219,4789.900391,3514.201172,6952.900391,7332.100098
540.0238975,5950.298828,4640.199219,4742.100586,3556.201172,6985.400391,7347.5
540.7655751,5947.999023,4664,4765.400391,3549.001953,6983.000488,7368.800049
541.507149,6013.399414,4576.899414,4756.300781,3483.101563,6978.300293,7365.800049
542.248619,5935.298828,4634.399414,4693.800781,3527.300781,6941.400391,7333.700195
542.9899852,5990.699219,4672.799805,4740.100586,3517.402344,6880.900391,7342.600098
543.7312476,5958.999023,4599.099609,4807.700195,3581.402344,6965.900391,7342.100098
544.4724062,6064.099609,4638.599609,4722.100586,3582.601563,6968.000488,7351.300049
545.2134612,5979.099609,4665.799805,4826.800781,3662.902344,6957.900391,7360.700195
545.9544124,6029.399414,4650.199219,4770.300781,3660.001953,7006.600586,7357.700195
546.69526,6064.499023,4758,4824.600586,3583.101563,6974.500488,7351.5
547.436004,6067.699219,4699,4837.300781,3713.402344,6996.100586,7345.900146
548.1766443,6065.199219,4745.199219,4807.400391,3677.601563,6991.200195,7361.100098
548.917181,6063.099609,4801.799805,4832.900391,3666.902344,7027.500488,7345.700195
549.6576142,6052.999023,4718.199219,4841.100586,3747.800781,6993.500488,7368
550.3979438,6084.099609,4723.199219,4863.700195,3713.201172,6986.500488,7351.300049
551.1381699,6120.099609,4754.899414,4869.900391,3768.902344,6960.600586,7360.700195
551.8782926,6047.499023,4834,4854.600586,3743.800781,7031.400391,7367.600098
552.6183118,6079.199219,4785,4923.5,3753.902344,7015.000488,7328
553.3582276,6085.999023,4688,4850,3828.902344,7005.700195,7344.600098
554.0980399,6109.899414,4781,4923.400391,3772.902344,7027.700195,7368.800049
554.8377489,6119.099609,4842.299805,4877.700195,3934.800781,7030.500488,7383.600098
555.5773546,6136.899414,4821.599609,4964.5,3927.101563,7015.000488,7352.400146
556.3168569,6107.599609,4897.399414,4904.300781,3803.800781,7049.400391,7347.5
557.0562559,6140.199219,4880.5,4905.600586,3712.601563,6989.000488,7337.100098
557.7955517,6094.599609,4815.799805,4925.100586,3806.902344,7010.300293,7326.400146
558.5347442,6103.199219,4843.699219,4890,3797.300781,7014.000488,7360.700195
559.2738336,6123.099609,4820.799805,4954.700195,3850.501953,7001.700195,7363.200195
560.0128197,6163.399414,4846.5,4878.700195,3909.201172,7035.100586,7366
560.7517027,6272.999023,4869.299805,5027.300781,3990.902344,7053.000488,7350.200195
561.4904825,6190.199219,4899,5018.400391,3849.800781,7036.200195,7351.5
562.2291593,6159.199219,4871.099609,4951.5,4004.101563,7012.400391,7348.800049
562.9677329,6120.399414,4900.5,4980.800781,3955.101563,7021.000488,7388
563.7062036,6093.298828,4903.5,4938,3795.902344,7023.900391,7361.700195
564.4445711,6171.699219,4832.5,4999.800781,3923.402344,7052.200195,7342.800049
565.1828357,6090.399414,4861.699219,4912.700195,3986.800781,6974.900391,7355.300049
565.9209974,6076.599609,4874.099609,4957.800781,3874.701172,7032.700195,7339.800049
566.659056,6043.599609,4816.199219,4949.800781,3875.800781,7002.800293,7356.5
567.3970118,6108.298828,4848.699219,4896.700195,3896.501953,6991.600586,7367.100098
568.1348647,6061.399414,4915.799805,4966,3908.001953,7061.300293,7336.100098
568.8726147,6169.099609,4829.5,4902.700195,3843.001953,7013.800293,7360.700195
569.6102619,6125.499023,4835.799805,4924.200195,3976.300781,7041.000488,7380.5
570.3478062,6176.199219,4896.099609,5001.900391,3911.902344,7078.500488,7359.800049
571.0852478,6154.499023,4829.099609,4956.900391,3956.601563,7004.500488,7350.100098
571.8225866,6134.699219,4950.299805,5011.900391,4081.201172,7035.500488,7347.600098
572.5598227,6114.899414,4898.5,4959.5,4005.300781,7073.200195,7388.600098
573.2969561,6132.699219,4999.5,4984.5,4019.402344,7034.700195,7361.700195
