Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A);Color
Pan.equicostatus;52.52025433;0.826722415;34;81.80791474;27.26090163;#bf9e66
Pan.equicostatus;18.61003889;0.70402595;22;62.94483506;11.94534539;#bf9e66
Pan.equicostatus;35.88533039;0.80578823;12;75.34914749;18.75005989;#bf9e66
Pan.equicostatus;21.2299127;0.73371751;18;61.53937935;13.10498123;#bf9e66
Pan.equicostatus;19.60288888;0.743018884;41;59.04185011;12.80089336;#bf9e66
Pan.equicostatus;21.17097973;0.735808081;44;53.92170501;14.63471167;#bf9e66
Pan.equicostatus;39.6698786;0.788122457;15;68.8923619;24.20405043;#bf9e66
Pan.equicostatus;24.72280392;0.752341185;35;59.80510381;15.43734223;#bf9e66
Pan.equicostatus;44.02021346;0.773590204;28;66.09654416;20.66935637;#bf9e66
Pan.equicostatus;23.73680451;0.787154809;40;69.8680613;14.0148518;#bf9e66
Pan.equicostatus;20.47649883;0.745537214;42;62.43227515;12.90546104;#bf9e66
Pan.equicostatus;17.79148919;0.728077167;25;51.4780578;12.25696302;#bf9e66
Pan.equicostatus;36.04606827;0.763288243;17;64.02503721;21.24823248;#bf9e66
Pan.equicostatus;21.55802366;0.762785528;47;62.94474202;14.07783189;#bf9e66
Pan.equicostatus;26.75487853;0.774293707;35;66.97530186;16.19123893;#bf9e66
Pan.equicostatus;42.5937177;0.809929636;45;72.55330921;25.63961632;#bf9e66
Pan.equicostatus;28.99288536;0.769930181;27;61.6708814;17.97726538;#bf9e66
Pan.equicostatus;23.12869876;0.771662912;38;66.43363804;14.1015731;#bf9e66
Pan.equicostatus;35.49958815;0.790822109;30;74.98019588;18.42397769;#bf9e66
Pan.equicostatus;19.11711233;0.744842934;26;60.81263638;12.79925674;#bf9e66
Pan.equicostatus;24.87966655;0.768975148;43;65.32345213;14.69956701;#bf9e66
Pan.equicostatus;17.95938931;0.716736153;34;61.134938;11.86609054;#bf9e66
Pan.equicostatus;46.65756082;0.793291769;25;69.7172382;21.49215791;#bf9e66
Pan.equicostatus;20.44752341;0.733694443;36;61.01115593;13.33234939;#bf9e66
Pan.equicostatus;18.64881444;0.72749417;37;57.89432011;12.32880566;#bf9e66
Pan.equicostatus;29.24048425;0.744590297;47;71.05452018;17.58917576;#bf9e66
Pan.equicostatus;16.96457794;0.717210099;48;52.44941858;11.89718658;#bf9e66
Pan.equicostatus;40.2601604;0.763935393;43;69.44759651;21.59741238;#bf9e66
Pan.equicostatus;22.29782121;0.772070217;33;70.16341056;13.46030276;#bf9e66
Pan.equicostatus;22.1897215;0.763089669;49;63.13470356;14.07435862;#bf9e66
Pan.equicostatus;16.71953931;0.733536905;21;56.82534555;11.53531375;#bf9e66
Pan.equicostatus;36.33325756;0.779382128;33;70.60869891;19.31281925;#bf9e66
Pan.equicostatus;20.9494846;0.76419912;35;65.93177632;13.21034317;#bf9e66
Pan.equicostatus;23.3734078;0.755496385;33;67.12595971;14.65178695;#bf9e66
Pan.equicostatus;24.14348846;0.764068652;48;62.50295776;14.57047924;#bf9e66
Pan.equicostatus;41.10476924;0.810525275;13;79.13482777;23.8800517;#bf9e66
Pan.equicostatus;26.13960714;0.770563626;47;68.01949435;14.94029194;#bf9e66
Pan.equicostatus;37.09811107;0.789048588;11;71.94004397;22.34005229;#bf9e66
Pan.equicostatus;22.77780126;0.711793077;24;61.69030428;13.15720892;#bf9e66
Pan.equicostatus;38.20493229;0.77995841;11;70.08037177;22.9121429;#bf9e66
Pan.equicostatus;39.35639471;0.769551914;23;69.58504753;20.4366024;#bf9e66
Pan.equicostatus;23.55828478;0.767040271;19;67.86228874;14.18457659;#bf9e66
Pan.equicostatus;25.35680643;0.768727501;40;68.0647654;14.9846866;#bf9e66
Pan.equicostatus;20.09751619;0.751166534;33;61.62280214;13.39622633;#bf9e66
Pan.equicostatus;26.64366095;0.804169574;20;75.61018172;16.05521014;#bf9e66
Pan.equicostatus;22.15200481;0.764554564;26;66.82633562;13.43478694;#bf9e66
Pan.equicostatus;19.07168701;0.745290418;41;60.79824517;12.39787871;#bf9e66
Pan.equicostatus;22.78046915;0.769503587;48;64.21100174;14.38466113;#bf9e66
Pan.equicostatus;24.99103714;0.758412307;24;64.70513283;16.02038473;#bf9e66
Pan.equicostatus;92.11824302;0.898427988;31;81.87534362;27.25276847;#bf9e66
Pan.equicostatus;26.6785524;0.786563801;19;68.07935399;16.57462711;#bf9e66
Pan.equicostatus;21.70587329;0.690038852;45;60.31841622;12.87676532;#bf9e66
Pan.equicostatus;25.14413412;0.757190054;44;61.10638686;16.06977284;#bf9e66
Pan.equicostatus;28.74773334;0.636160589;48;55.20061385;16.82385335;#bf9e66
Pan.equicostatus;20.90289546;0.742939367;38;63.49426369;12.91210067;#bf9e66
Pan.equicostatus;19.95170992;0.74794117;33;61.72488392;13.08728319;#bf9e66
Pan.equicostatus;40.84246543;0.809452893;37;73.50349526;25.06798709;#bf9e66
Pan.equicostatus;21.02237584;0.749839222;23;66.81999586;13.2530467;#bf9e66
Pan.equicostatus;18.47898008;0.748134941;47;61.57443735;12.14493539;#bf9e66
Pan.equicostatus;25.48356408;0.791130053;23;68.32328029;14.91689887;#bf9e66
Pan.equicostatus;21.40101472;0.770480861;28;66.72828315;13.46658805;#bf9e66
W. excavata;35.21394504;0.788608573;45;73.97228421;19.89964969;#2686a0
W. excavata;28.39833709;0.799745588;47;75.09119829;17.07204663;#2686a0
W. excavata;19.27083114;0.715174862;38;50.94743883;12.67089874;#2686a0
W. excavata;47.71492249;0.824686938;15;81.30174893;26.55112086;#2686a0
W. excavata;25.979852;0.698301907;50;58.03465421;16.6449886;#2686a0
W. excavata;44.33473167;0.821819437;37;80.47418261;25.90217891;#2686a0
W. excavata;14.84931488;0.31367781;17;32.72196624;10.46880599;#2686a0
W. excavata;66.51691589;0.831686908;12;81.65954253;27.15393214;#2686a0
W. excavata;29.48106056;0.740588174;14;57.58162044;16.84705926;#2686a0
W. excavata;21.33137285;0.74784659;45;59.71874852;13.57132757;#2686a0
W. excavata;41.15380421;0.812726307;35;75.92999288;23.85006216;#2686a0
W. excavata;41.40419466;0.817804101;18;78.83241189;24.78092085;#2686a0
W. excavata;21.68219945;0.717614637;49;53.33273165;14.79230182;#2686a0
W. excavata;33.33184147;0.767112446;33;66.58000685;20.75043182;#2686a0
W. excavata;43.6768581;0.816998668;27;78.09834014;24.43145649;#2686a0
