Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A)
Pan.equicostatus;25.82427224;0.737185528;11;4.206200962;1.896176283
Pan.equicostatus;21.5955598;0.754101839;26;4.242317844;1.902738113
Pan.equicostatus;29.73305048;0.745538471;26;4.368325811;2.095964946
Pan.equicostatus;23.41372859;0.755637713;17;4.224258038;1.921445472
Pan.equicostatus;69.67903409;0.811469082;36;4.555620845;2.496981028
Pan.equicostatus;22.83923482;0.772985995;39;4.311502802;1.961556339
Pan.equicostatus;19.00254477;0.726985287;40;3.885809798;1.885316127
Pan.equicostatus;20.23059933;0.750810973;45;4.050801149;1.930072213
Pan.equicostatus;16.82540704;0.705276947;27;3.931313365;1.804201377
Pan.equicostatus;26.30983162;0.780861596;22;4.40363393;1.978704395
Pan.equicostatus;43.84536224;0.819347032;35;4.734963146;2.710572423
Pan.equicostatus;23.56078758;0.775832659;19;4.335460579;1.963377438
Pan.equicostatus;45.05408619;0.813391141;42;4.590753978;2.700006144
Pan.equicostatus;19.42909822;0.731168047;31;4.014710663;1.841990079
Pan.equicostatus;22.9285195;0.734322026;50;3.874891243;1.9714007
Pan.equicostatus;39.76216468;0.809940459;41;4.627258285;2.396884611
Pan.equicostatus;23.74774067;0.770084574;24;4.353905017;1.965782735
Pan.equicostatus;34.92347399;0.783071431;50;4.359289189;2.385414369
Pan.equicostatus;39.50147255;0.793091568;33;4.612976582;2.436598428
Pan.equicostatus;24.47234918;0.773495982;33;4.366392089;1.99845413
Pan.equicostatus;27.75125954;0.775509814;23;4.393421941;2.048523725
Pan.equicostatus;35.64801016;0.781447755;45;4.189320106;2.317277291
Pan.equicostatus;17.72471234;0.731040468;43;4.069966392;1.816231109
Pan.equicostatus;23.52481651;0.749147325;36;4.062102474;2.021730751
W. excavata;75.5122118;0.83818697;23;4.765102513;2.745394648
W. excavata;37.97654985;0.790728059;49;4.435589119;2.576642871
W. excavata;52.60864397;0.821956303;11;4.742730055;2.574838454
W. excavata;70.75856265;0.833074112;20;4.776804774;2.724113532
W. excavata;36.27246002;0.802129654;48;4.549815901;2.475037892
W. excavata;28.83064083;0.742747117;36;3.996674693;2.15342388
W. excavata;23.7239389;0.677313108;49;3.7817314;2.02897664
W. excavata;58.00467695;0.822248664;33;4.719346745;2.692270798
W. excavata;42.70220468;0.813390134;15;4.58485969;2.692060752
W. excavata;45.37794603;0.810661095;21;4.630767022;2.566468073
W. excavata;43.72884632;0.819385539;36;4.704804118;2.671689495
W. excavata;33.43838469;0.783342235;12;4.452593287;2.318638176
W. excavata;47.96302564;0.816188384;17;4.633778252;2.657595563
W. excavata;32.66207823;0.791867539;44;4.447100863;2.382739399
W. excavata;41.49938049;0.81880078;33;4.711056652;2.608055075
W. excavata;67.9307338;0.832649058;25;4.802884391;2.76770413
W. excavata;60.18729622;0.821560212;12;4.736794977;2.701722271
W. excavata;38.92586539;0.801380207;24;4.597210677;2.519413946
W. excavata;23.35676883;0.765084425;50;4.148463027;2.035291428
W. excavata;28.98171334;0.729348323;31;4.018928419;2.255767477
W. excavata;56.99406791;0.820861233;26;4.68564761;2.670591462
W. excavata;24.73866144;0.765334819;37;4.25845317;2.064623587
W. excavata;36.70866099;0.805256658;38;4.562519149;2.508573299
W. excavata;14.42528362;0.447979436;30;2.862507643;1.624412572
W. excavata;35.61174395;0.692887557;25;4.377533557;2.44467854
W. excavata;51.8370917;0.819144912;36;4.696918413;2.652239855
W. excavata;42.70049634;0.81943899;37;4.712568772;2.6381646
W. excavata;32.78947623;0.80150522;29;4.549224655;2.31411223
W. excavata;25.14512621;0.743746665;44;4.087469528;2.130068052
W. excavata;14.5752734;0.472253069;47;3.07183849;1.678805859
W. excavata;43.04985081;0.817236707;38;4.664518589;2.657299837
W. excavata;43.86303731;0.818933549;33;4.695736492;2.672133679
W. excavata;32.9976336;0.800223557;27;4.538894034;2.330849546
W. excavata;65.66183507;0.831327029;39;4.803699912;2.767347842
W. excavata;43.07082186;0.81729357;36;4.667718598;2.658864971
W. excavata;49.00656706;0.820084416;38;4.720945961;2.679779043
W. excavata;51.86707491;0.81726772;41;4.697852616;2.65554588
W. excavata;46.15827301;0.82590865;14;4.804344823;2.774027342
W. excavata;26.75644188;0.789858547;27;4.402957872;2.181167794
W. excavata;55.15232089;0.820733506;24;4.707806516;2.681534067
W. excavata;42.71122494;0.817172626;40;4.674378777;2.685204597
W. excavata;37.48631185;0.807456846;50;4.598026157;2.501631314
W. excavata;28.7305625;0.793529589;38;4.499311223;2.097486071
W. excavata;22.43265807;0.669756753;25;3.589710587;1.883384217
W. excavata;50.82299383;0.812408824;43;4.650530364;2.668379656
W. excavata;44.37354087;0.819806995;49;4.726813914;2.657392039
W. excavata;47.05779003;0.819563999;34;4.700633819;2.69831309
W. excavata;56.67227769;0.826989672;14;4.791667146;2.765883677
W. excavata;50.82770353;0.826339901;17;4.802329359;2.771725732
W. excavata;53.13047659;0.815311347;45;4.68983188;2.662519283
W. excavata;25.85071613;0.69292208;37;3.812104248;2.053353857
W. excavata;9.150037455;0.371770686;45;2.525371253;1.471316015
W. excavata;27.01006877;0.739326201;14;4.128876715;1.849713116
W. excavata;53.34362946;0.822759865;28;4.730181421;2.699552723
