10 points;20 points;30 points;40 points;50 points;60 points;70 points;80 points;90 points;100 points;125 points;150 points;175 points;200 points;400 points;600 points;800 points;1000 points;1500 points
;;23.99653335;39.31560061;45.93939398;43.44396529;25.8882791;22.41239896;42.51483219;42.49403635;32.55305085;21.92197549;40.40704077;45.24983904;21.09637464;46.02480154;24.19367786;;
;;32.99483626;27.87536613;40.69477843;42.30364178;26.69095809;47.57735549;40.62147474;27.09005104;45.55534692;19.74989443;49.26796882;44.90115294;43.39542069;42.12419326;18.0454717;;
;;22.69318529;54.28638891;31.37513683;40.31055351;27.79100874;42.80816316;15.05827553;41.04178465;42.97766172;26.03770771;15.42087422;43.52185024;44.01580566;37.23079597;8.628213383;;
;;34.13388803;44.13150789;47.95892347;46.3497346;36.33911676;48.81522946;19.57290962;45.12127099;21.38944179;19.02027924;49.89907791;39.84401996;19.73060463;41.1221233;41.54123836;;
;;20.68345697;27.83977643;27.85505804;27.81486501;23.85878352;48.36514861;47.45899583;27.377847;44.5042244;44.26509984;37.49192268;17.63815655;17.14022596;41.58295623;23.83735823;;
;;40.64870064;19.27911287;49.28816809;13.0112693;29.21750481;45.92060725;43.5526846;20.96323233;33.73940303;41.17463807;47.76931559;24.05714912;37.10171806;34.00750679;41.62260904;;
;;35.72371019;16.12297041;19.22215033;40.99860901;41.2900312;47.89091102;26.97851141;60.15772196;46.06415698;28.14962859;20.33653575;39.0882943;35.86996944;11.20900498;21.10286257;;
;;45.29998098;45.80494171;33.48408277;42.4494183;33.78443;8.700983348;29.63060843;45.35509611;17.16116525;23.58651653;41.64885387;22.33347741;24.76482024;45.06674454;37.02658292;;
;;33.13962757;32.63847912;28.72463784;10.06081313;29.94884174;39.75253114;14.58677657;19.64782324;47.27143535;28.41160913;41.52361256;25.83255603;28.22379749;40.64823587;37.43482523;;
;;42.45539656;47.80979771;39.15786242;38.714448;33.98566692;42.11623557;41.06335086;41.15196704;47.014981;42.51352164;45.72276058;48.97617031;12.77063172;46.56192143;41.81700244;;
;;;18.18744109;25.30324765;44.38818506;41.94140909;25.72382681;17.72346738;45.0190294;31.7887409;50.05713044;38.99587855;39.60785896;32.49922474;35.66963056;46.10519624;;
;;;22.83051544;16.25301146;51.58454213;48.99095923;52.78905143;38.17685053;20.84305114;29.19508446;39.37266997;23.84664564;23.97958982;16.10624984;40.35336967;38.88839823;;
;;;43.93170934;40.6923332;29.75407254;43.11987004;33.9544873;26.42882617;42.41969492;57.56001896;49.11675559;40.69342748;31.61069382;25.71838228;34.45218518;17.13140186;;
;;;30.18649516;17.85671357;46.44099018;18.59217209;41.00441242;21.74893009;33.83657475;23.600433;23.38116698;53.69014458;41.74102096;44.19382703;40.90566789;26.28740441;;
;;;47.65192205;24.88630293;21.07885081;41.60200595;44.83389179;41.9739845;43.21267176;38.80603328;45.50654947;26.59870916;40.37844844;38.13418777;10.50844158;21.45462975;;
;;;46.99665965;44.49309131;42.92916367;51.95719966;44.68451177;26.7035675;24.6272391;41.89176819;48.60649686;35.52155819;12.02987891;28.64219937;41.58262686;20.02293776;;
;;;21.8100817;28.06498999;31.03987185;42.35208832;10.71198808;45.6604143;43.21910108;48.18085264;17.29037717;29.43547812;28.44417768;15.41396268;41.93511331;20.92434495;;
;;;20.38578238;42.90195814;47.93631596;46.93398205;17.99090484;53.97389616;45.44473137;46.73891407;14.05829083;32.20142222;60.68728902;25.72658084;45.81738945;39.02935074;;
;;;15.39005044;24.65422244;26.22177057;41.62221886;39.56631324;15.36154152;39.38278738;18.84934289;8.053665696;42.10699648;44.03326048;43.83417371;25.33106765;32.50293563;;
;;;46.41783634;22.8355697;47.42035742;41.95846954;44.77725089;56.43993719;16.860056;25.36751268;17.13198855;35.61921679;25.93698245;33.04402308;42.55392191;45.01149734;;
;;;;41.44727769;29.44222117;34.23700839;28.37492033;43.0236744;32.80587706;43.22742889;23.35094887;27.03323425;42.72038526;38.98559755;33.85242079;38.74491923;;
;;;;40.48136923;9.313475143;26.2777897;22.09801202;51.66488024;21.42649737;47.0317688;26.01023489;47.90517779;29.95676161;21.54232437;41.9929779;33.41478284;;
;;;;21.56130284;22.04402705;35.60602634;26.68560311;19.67484714;42.84007422;18.00757336;25.85888649;44.60037124;10.06763733;32.57880273;24.92984829;22.24071406;;
;;;;23.29339035;17.75981661;11.59800476;18.96240473;41.54822338;41.71448853;44.5828767;19.72048;31.2875251;32.18727371;21.82485256;25.31665877;51.6632051;;
;;;;41.05429339;46.8462899;36.20008775;40.19001204;40.76332764;40.73442321;35.11902079;42.47767021;26.33949168;39.74080725;38.96013256;41.82458488;39.34071965;;
;;;;39.05595198;49.26796882;48.61238204;37.17484667;34.93155073;48.48148978;21.33163659;25.35834356;20.88794707;66.62007292;39.21367374;34.55663929;39.74957204;;
;;;;44.1437767;40.56662073;42.19294639;31.65959244;23.48252333;32.39578834;22.9517964;41.47780624;42.93059924;13.27675774;44.69814772;60.83692538;11.38056825;;
;;;;44.12000344;49.89907791;34.74312599;45.54947013;44.81112718;38.782518;38.91045818;26.65236342;11.02377078;37.93886954;43.25447315;52.98104519;41.76328154;;
;;;;38.99505065;47.3893898;46.95627257;44.31185469;45.38914933;37.27443753;29.42010575;47.04572371;41.22622115;44.26766931;27.52351207;20.68034893;44.9123189;;
;;;;16.92790074;47.76931559;49.08936056;29.741743;45.26194857;46.02503731;43.23316639;41.51116819;22.05634249;37.54333452;40.04054286;28.93277897;41.43796522;;
;;;;;33.46583688;37.08476142;21.41336103;72.05262445;30.08488385;48.00389935;40.88584733;41.25479384;30.73547958;22.01247804;17.20817832;27.31261766;;
;;;;;21.20445249;46.04363939;22.12823411;28.04345804;65.0290987;23.79781309;45.11485623;43.55008697;25.71900283;42.60154823;26.90266266;49.34823057;;
;;;;;46.282883;30.43728544;43.00649902;43.72101333;29.55938154;28.3772118;23.96324609;36.02139041;27.32883433;8.915897463;40.44100662;37.05495372;;
;;;;;36.05125015;54.38843991;15.59279926;38.68896306;36.70052049;45.53757724;34.04010631;10.18412227;26.50666966;40.46527464;42.08603005;41.56040322;;
;;;;;43.23407493;42.68200908;58.88595458;23.49608297;25.84546821;17.95649927;41.4689627;51.39960458;43.29902653;23.97226959;44.44337782;25.85796329;;
;;;;;42.32433709;36.03191972;35.21672229;42.64319641;10.50854612;24.95341676;47.58210915;25.1448642;44.64109562;43.46517562;8.292424265;25.60420468;;
;;;;;39.97347041;45.95538556;38.57462555;47.14082898;92.24284886;16.59689012;42.68920639;20.42246137;41.32444625;34.95736467;37.49365576;41.86428605;;
;;;;;26.82239665;50.41170493;44.61411878;20.79393553;34.52995569;24.55002883;39.67879184;38.1255133;45.1813666;43.24283612;12.52812853;44.20164037;;
;;;;;40.5362701;43.17889644;36.38878741;33.3106734;42.11508275;23.42530983;44.02537979;45.92160187;27.29261015;26.4700735;40.59504633;38.74963145;;
;;;;;29.43547812;40.09041858;48.03069765;57.48641579;8.023853965;26.31350424;30.27649962;47.01343418;25.7831588;42.20711864;46.89149443;38.21883491;;
;;;;;;47.3524341;47.49834294;40.26672821;45.32992069;49.80736881;35.02961516;39.10107873;49.517362;40.77908955;47.64811169;44.62177624;;
;;;;;;41.38203049;23.74835861;8.318232492;20.76825266;28.08661852;25.78147702;40.59584626;26.54156953;37.05495372;21.95414639;48.59213936;;
;;;;;;48.06184293;26.72890644;28.86676932;48.75203795;43.98852944;26.26750073;26.69095809;15.05827553;41.62601188;25.2377414;39.09233384;;
;;;;;;26.40801544;33.08704532;39.05301743;25.56381475;45.05411927;43.57503605;45.50853414;30.5516523;44.15900424;46.01082628;39.69403994;;
;;;;;;14.56895703;39.00948715;26.2951807;22.3399875;41.48539059;44.25820923;30.90412429;40.61125266;14.54589629;41.68211024;32.99582722;;
;;;;;;25.60915653;45.24983904;48.69851228;26.71240516;41.32949768;35.96788332;41.22561073;31.19198384;11.90302099;48.0947146;18.21789611;;
;;;;;;18.93786003;42.78576587;40.94534151;11.87157939;26.28330799;42.9536418;44.00099866;44.96176137;29.95308634;35.12027962;33.42590598;;
;;;;;;27.08773371;35.06909911;30.1664253;34.56532023;40.82746353;41.62022685;22.23975491;17.79680812;32.69791537;39.81447865;18.56007579;;
;;;;;;43.22063986;17.25693106;31.24153758;26.55582794;44.15413621;15.41144477;32.77589914;47.03484735;38.93335073;65.92157438;44.6084716;;
;;;;;;40.85215849;52.9651263;46.1792164;44.01580566;40.17584566;49.6991495;47.44993845;43.47143542;43.96561159;39.85066519;45.52070289;;
;;;;;;;45.45281524;42.26461542;36.81608045;27.20392517;34.18148322;27.6381752;39.06586675;54.37834923;37.99018472;32.55930328;;
;;;;;;;22.33347741;54.02802981;43.00758451;20.2841214;57.42382637;19.23489733;14.58677657;25.82179609;15.6822576;28.10550823;;
;;;;;;;43.92652568;47.12450382;41.02337723;42.13873732;24.70591017;18.10282913;28.89669836;25.5023746;24.77645012;37.40772625;;
;;;;;;;45.04129228;21.64900259;24.76482024;38.7270356;27.8279626;49.36315732;17.72346738;42.96147672;28.31821091;17.1569325;;
;;;;;;;23.97958982;40.92638972;41.55867842;45.72040066;36.3570121;40.93091241;44.31326246;24.56471814;45.93987369;44.58180675;;
;;;;;;;36.62016158;28.03254202;32.49922474;19.98284878;41.67437471;43.11987004;26.42882617;27.66782889;18.04976377;40.82554084;;
;;;;;;;48.43924802;41.16308095;25.71838228;40.75959568;11.65864663;31.95193275;43.63118865;48.86094917;26.08398431;28.53026193;;
;;;;;;;40.37844844;36.92876208;42.13060788;37.85786532;42.27283424;15.78581254;10.55424175;15.80816069;41.61901087;40.6405027;;
;;;;;;;47.57207943;19.79613997;24.55191002;32.57336199;9.540965859;36.94713721;38.37750269;27.98668092;46.64228162;19.0769429;;
;;;;;;;49.1516723;27.15835517;21.26169869;36.45371685;8.438285577;33.11016274;45.6604143;40.85829963;33.61105219;36.20480364;;
;;;;;;;;28.14627925;25.72658084;38.36861439;18.48018805;27.74619095;25.35118769;14.57933032;17.22753938;40.28731672;;
;;;;;;;;50.86673543;23.25573298;42.44585004;25.75138824;30.02926267;29.84229125;11.44126266;49.57749771;43.66967812;;
;;;;;;;;26.46091418;40.97199091;21.6559913;36.73595165;41.95846954;39.30354259;39.76208612;8.629036832;40.03952489;;
;;;;;;;;26.85860194;44.71466095;40.91736153;48.92317127;29.22922939;42.36157245;41.82983167;22.94546836;22.32807844;;
;;;;;;;;47.52114026;46.3376401;39.89355543;43.61072562;22.81924818;34.1509674;26.71317119;24.55817592;17.62953974;;
;;;;;;;;48.91483429;47.81792643;24.42416194;44.98382323;26.2777897;30.16557784;44.21770862;50.53246784;29.62528159;;
;;;;;;;;46.7203157;21.82485256;31.58360625;22.23435488;47.22023;43.40567874;42.91886133;39.36092072;20.43361278;;
;;;;;;;;25.57496571;26.95086146;41.80646656;42.97048192;41.04837183;47.24103024;33.90250532;43.89099724;45.29347831;;
;;;;;;;;28.05209877;36.34472117;33.29823676;49.64914524;33.6906966;13.35562472;8.770624729;46.85254347;42.44839257;;
;;;;;;;;45.40776979;25.09112942;49.71571465;10.58559726;30.57362551;45.11293451;39.27570496;19.86796376;29.73412847;;
;;;;;;;;;18.0279539;33.06635863;39.41322484;40.9291351;43.61203361;21.38944179;43.0952465;45.56658946;;
;;;;;;;;;42.48003383;40.5164394;46.21156696;41.51341667;23.48252333;43.17184751;18.26146316;23.27148328;;
;;;;;;;;;17.97887304;49.5736407;30.39249956;19.27999269;22.15150629;44.5042244;46.31764628;31.22487943;;
;;;;;;;;;8.915897463;26.47481764;29.5905663;34.76783786;45.38914933;41.09538608;48.26117684;19.04553289;;
;;;;;;;;;38.66339021;40.81800482;21.57980669;37.08476142;20.29056928;42.02116623;32.54525181;42.47997433;;
;;;;;;;;;39.37671559;32.71474987;23.47100883;43.76452943;16.07450494;44.32185034;40.81937152;18.39373052;;
;;;;;;;;;48.73381285;26.81008424;33.3177868;38.25637352;32.28574157;8.186074732;44.02285699;21.81349109;;
;;;;;;;;;21.35038572;42.11009298;30.75732674;45.61128591;42.68727535;17.16116525;41.40992892;34.77135703;;
;;;;;;;;;26.90509496;33.76105226;41.02222849;42.68200908;92.25989356;41.2559429;15.81743534;16.19594716;;
;;;;;;;;;25.10581441;19.88458772;41.89643082;33.76111546;42.83647223;40.80095037;24.72772864;34.89176703;;
;;;;;;;;;;21.24222654;23.64361967;36.03191972;26.42221385;23.5664044;40.0979258;43.82721806;;
;;;;;;;;;;45.99793398;47.43707715;42.33186488;43.84108721;47.75886005;92.24169347;30.56288788;;
;;;;;;;;;;45.04486729;42.0385295;29.32008806;43.19996994;41.75293941;41.97866557;48.26775904;;
;;;;;;;;;;40.17372797;14.08973345;18.71708869;20.79393553;46.2477568;21.20763437;41.00800313;;
;;;;;;;;;;28.27138315;44.18976539;40.09041858;47.48822973;57.56001896;26.05596403;36.97553165;;
;;;;;;;;;;21.99679295;34.33045738;29.59463732;57.48641579;43.72995359;42.51001731;26.22252975;;
;;;;;;;;;;40.20287182;19.72580065;42.886079;19.57084107;44.95937716;42.55176986;33.51652834;;
